Geneid	B_DNR_24	B_DNR_3	B_DOX_3	B_EPI_24	B_EPI_3	B_MTX_24	B_VEH_24	B_VEH_3	A_DNR_24	A_DNR_3	A_DOX_24	A_DOX_3	A_MTX_24	A_MTX_3	A_VEH_24	A_VEH_3	C_DNR_24	C_DNR_3	C_DOX_24	C_EPI_24	C_EPI_3	C_MTX_24	C_MTX_3	C_VEH_24	C_VEH_3
chr1.6353741.6354227	4	3	7	3	1	11	2	11	2	4	0	3	7	6	14	14	2	1	6	3	1	0	4	13	2
chr1.6358738.6360121	30	14	11	15	2	21	5	11	9	2	8	1	15	9	23	6	4	0	19	9	3	6	2	23	1
chr1.6393053.6394151	23	32	27	14	7	21	5	18	14	9	9	7	35	12	35	8	5	1	18	2	2	6	11	24	5
chr1.6490330.6491930	15	21	16	9	3	23	11	17	9	11	9	8	26	13	27	8	1	4	20	5	3	6	8	28	3
chr1.6496615.6499077	20	20	14	5	5	22	5	14	7	9	9	10	35	15	46	5	8	3	14	7	7	4	14	26	0
chr1.6515565.6516436	14	13	16	8	4	12	6	11	11	4	6	4	17	9	16	4	11	1	21	10	4	5	8	13	2
chr1.6519537.6520618	15	9	2	5	1	16	2	7	7	2	3	4	16	8	19	13	4	1	18	5	3	1	16	20	1
chr1.6553935.6554640	13	12	11	5	1	7	0	5	4	10	8	1	8	4	12	4	0	1	5	3	2	2	6	16	0
chr1.6579114.6580873	29	42	25	14	4	12	2	14	10	10	10	7	25	15	36	7	10	4	25	9	6	10	9	19	6
chr1.6600273.6605987	126	150	119	32	27	90	18	103	68	63	50	49	248	57	146	64	49	24	102	39	36	30	52	122	34
chr1.6612541.6615407	54	99	70	18	19	32	9	38	26	27	31	15	78	26	80	21	16	11	56	24	18	22	21	64	3
chr1.6624808.6626048	15	31	29	10	1	16	5	8	11	6	11	8	32	7	30	11	12	3	10	12	12	8	10	33	6
chr1.6700413.6702196	35	49	38	10	10	20	7	16	15	31	11	7	33	21	24	16	14	11	22	10	7	4	23	24	7
chr1.6784254.6786817	69	90	91	19	21	38	10	37	43	44	28	22	102	26	60	24	24	5	47	18	7	12	25	46	7
chr1.6801764.6803295	31	17	16	9	3	8	2	7	25	9	17	4	21	7	20	8	9	2	18	4	4	2	7	15	0
chr1.6948481.6949728	28	10	6	8	4	10	1	4	17	5	11	3	12	4	10	9	11	1	15	8	2	3	5	3	0
chr1.6961967.6963960	33	32	28	14	10	33	4	36	18	12	6	12	83	19	49	23	12	6	35	16	3	11	12	44	12
chr1.7771008.7772319	32	48	27	15	10	14	7	18	11	14	15	8	17	15	19	11	6	7	22	4	0	5	10	18	1
chr1.7783843.7784239	13	10	17	3	3	16	2	6	5	5	2	5	20	6	19	8	1	5	5	3	4	5	7	13	1
chr1.7960842.7962107	37	58	44	11	10	29	4	17	21	24	16	15	76	36	50	18	15	6	28	17	6	15	22	48	5
chr1.8004284.8005759	60	37	32	25	10	43	3	12	33	10	19	7	43	9	34	22	20	4	41	17	3	8	8	33	7
chr1.8025466.8027468	50	41	39	11	10	26	7	17	22	23	15	8	57	8	33	22	29	7	29	10	5	10	17	31	4
chr1.8076851.8079271	36	22	24	11	7	25	8	14	22	7	13	10	36	11	18	9	11	5	25	12	1	6	8	15	2
chr1.8118084.8118455	11	9	3	4	0	4	1	2	11	3	6	1	5	3	5	1	7	6	8	4	2	2	0	4	1
chr1.8121073.8122178	27	26	13	15	0	8	4	11	17	7	12	5	25	7	18	8	5	2	18	9	4	3	8	6	2
chr1.8373519.8374597	17	11	10	5	2	17	3	5	25	7	10	5	40	9	29	10	7	3	16	7	1	4	4	18	8
chr1.8395857.8397367	21	30	29	7	6	20	5	12	17	13	8	12	40	10	29	5	10	7	28	16	9	5	17	10	1
chr1.8422521.8425401	61	45	47	25	17	39	10	21	27	27	15	18	60	20	41	21	16	12	31	6	7	6	16	33	8
chr1.8455609.8456942	24	13	9	6	9	21	6	12	18	15	8	6	34	13	23	12	6	6	14	6	4	2	12	14	4
chr1.8525393.8526259	24	18	21	8	5	20	4	14	18	10	11	2	40	17	20	7	11	1	22	3	5	4	12	17	2
chr1.8626279.8627094	18	17	15	6	1	15	8	10	17	7	2	4	25	6	12	8	6	3	13	6	1	2	7	18	3
chr1.8701612.8703906	53	47	49	13	12	42	6	17	25	24	9	14	79	27	39	18	22	12	42	24	8	11	26	47	11
chr1.8706299.8707871	23	22	14	3	5	26	4	7	17	21	11	10	33	11	13	13	8	5	24	14	12	9	18	19	3
chr1.8712056.8712995	13	20	17	7	4	16	5	7	9	18	7	9	27	8	11	7	7	4	22	9	6	2	8	24	2
chr1.8816545.8818689	52	71	42	14	15	21	8	21	29	28	22	13	74	19	49	15	15	6	32	16	12	9	16	43	7
chr1.8857619.8858525	22	13	8	7	2	12	2	6	12	2	7	2	13	5	14	4	6	0	16	3	0	3	6	10	2
chr1.8873050.8874313	18	10	7	14	4	2	4	4	21	3	10	5	28	9	8	6	12	2	13	6	5	6	6	9	1
chr1.8877214.8879774	72	108	102	14	29	31	9	33	55	39	38	21	144	49	96	38	40	16	70	17	12	10	31	67	6
chr1.9128286.9129869	20	23	26	12	6	18	3	18	12	14	7	12	34	17	36	20	4	3	16	5	1	2	8	19	4
chr1.9162472.9163399	7	7	14	2	1	17	2	9	9	4	6	5	18	6	13	5	2	0	4	2	1	2	5	18	1
chr1.9180461.9184174	145	99	87	40	24	44	16	25	98	40	62	27	89	40	50	13	64	22	79	38	14	14	39	31	7
chr1.9234294.9235470	28	41	31	10	10	19	5	17	23	14	12	15	45	10	37	11	13	2	21	10	6	5	6	28	6
chr1.9249625.9250390	7	13	8	8	2	14	6	11	5	5	2	4	23	9	21	4	3	1	10	2	1	5	8	17	5
chr1.9291787.9292826	16	10	5	7	4	9	4	14	9	5	13	3	14	7	16	4	12	0	7	4	3	3	3	17	1
chr1.9384236.9385825	11	12	8	8	2	25	8	16	10	1	3	7	28	13	38	33	1	2	25	15	4	1	10	38	8
chr1.9412466.9414052	18	14	20	8	3	32	9	23	9	7	4	4	36	9	32	21	7	4	29	6	5	8	19	45	6
chr1.9539185.9540331	23	33	19	10	6	16	4	9	16	6	12	4	32	9	24	11	5	11	13	8	3	4	8	15	1
chr1.9588570.9590017	19	22	20	6	4	16	5	9	14	10	9	6	18	5	17	5	8	5	8	5	0	3	2	13	4
chr1.9885876.9886722	13	6	7	5	0	12	3	10	9	1	4	3	22	6	28	5	4	3	6	3	1	1	2	25	5
chr1.9889893.9891333	52	18	16	19	6	21	3	8	20	12	12	7	33	12	20	10	18	1	21	9	3	2	10	16	4
chr1.9900323.9901503	12	22	10	3	3	7	4	12	10	9	1	8	21	8	13	8	1	2	11	9	3	4	7	22	1
chr1.9909414.9911251	43	76	46	21	12	37	8	28	27	32	22	19	85	27	60	24	14	6	35	15	7	17	14	54	3
chr1.9922184.9922961	11	14	17	3	0	12	2	9	7	3	5	2	14	8	18	4	4	3	11	5	2	3	5	21	3
chr1.9942521.9943953	33	33	32	17	7	21	5	12	14	26	12	12	42	14	23	9	15	3	23	9	10	5	16	22	5
chr1.10031790.10034238	42	44	67	14	17	39	9	34	32	36	11	18	63	18	36	21	15	7	41	19	10	11	23	35	3
chr1.10108148.10108837	25	10	10	7	6	18	3	6	11	3	10	5	10	7	17	2	9	1	14	9	3	5	2	11	1
chr1.10209689.10212632	88	118	96	29	23	61	12	38	48	38	37	27	129	40	91	41	28	11	55	19	12	15	26	76	15
chr1.10398466.10400378	43	53	49	11	11	27	9	19	35	20	25	9	50	23	42	16	12	5	27	12	2	17	15	33	7
chr1.10456029.10457443	42	16	10	10	2	10	4	7	30	3	12	10	18	10	13	4	14	2	32	5	5	4	14	16	3
chr1.10471939.10472660	13	21	12	5	3	12	1	9	10	8	9	6	18	4	9	5	8	1	5	6	2	2	6	6	1
chr1.10474503.10475881	36	42	44	17	9	15	8	11	21	27	11	22	41	12	41	14	15	6	27	12	6	7	16	31	7
chr1.10528022.10529276	26	26	18	9	3	21	5	11	14	12	11	6	21	14	22	5	5	3	29	12	7	6	7	20	1
chr1.10662478.10665423	46	30	38	14	5	40	7	36	33	24	26	18	94	22	71	29	12	5	69	16	10	18	19	76	13
chr1.10677114.10678196	24	10	7	8	4	10	0	9	17	8	5	4	20	10	13	18	5	2	18	8	1	3	8	16	3
chr1.10681229.10683518	27	32	29	7	8	28	12	21	29	9	12	11	39	18	48	24	6	2	33	14	13	6	24	47	6
chr1.10684246.10687048	36	42	20	14	3	37	11	20	41	10	17	15	85	32	66	23	23	11	53	13	14	12	44	32	6
chr1.10691404.10693107	38	22	19	11	8	8	7	17	31	11	31	13	24	6	26	9	9	4	19	9	1	1	10	17	4
chr1.10693865.10695247	11	20	16	11	6	22	5	12	16	7	10	4	37	13	27	14	9	2	17	7	1	10	13	18	6
chr1.10714179.10715577	30	14	16	12	5	26	8	23	8	16	8	7	49	13	29	15	1	5	22	12	10	1	12	31	5
chr1.10716041.10718452	63	31	29	12	14	50	7	35	18	15	24	12	83	19	70	40	11	10	50	24	15	21	26	75	17
chr1.10720008.10721257	16	19	18	4	5	7	4	17	14	11	8	7	39	13	39	21	5	6	21	8	7	3	10	49	5
chr1.10722717.10724831	35	23	33	17	3	21	8	14	20	13	12	11	36	20	31	16	8	10	45	13	7	6	18	42	4
chr1.10733334.10734138	6	8	12	7	1	12	1	4	13	11	3	4	15	8	6	2	3	1	14	1	3	0	4	12	2
chr1.10736800.10738525	21	14	9	11	2	17	7	16	20	7	9	8	40	8	26	13	1	2	21	4	4	6	12	21	4
chr1.10744722.10746245	29	18	9	16	4	3	2	4	33	11	38	11	8	11	7	7	13	1	13	3	2	1	8	8	1
chr1.10793688.10796810	55	50	46	13	14	38	11	21	41	36	48	16	68	34	47	11	5	15	26	14	13	11	19	67	15
chr1.10819797.10821342	23	17	13	7	2	17	5	17	12	4	9	4	37	15	28	14	5	6	28	6	8	2	14	28	9
chr1.11012236.11013375	47	69	62	19	24	37	6	33	35	29	17	23	93	41	59	34	21	11	50	18	7	13	24	62	5
chr1.11059370.11060733	20	34	33	9	16	15	2	20	15	11	11	9	39	16	23	11	10	3	12	3	3	5	8	19	6
chr1.11099207.11100158	19	21	19	4	6	16	4	12	28	14	16	14	28	5	27	12	11	6	13	7	7	8	8	25	5
chr1.11175475.11177256	20	25	12	10	6	22	4	16	15	18	13	12	36	14	22	8	10	7	31	7	6	7	6	27	6
chr1.11262109.11262839	10	17	20	5	5	7	3	11	16	9	11	6	13	5	14	8	3	1	14	6	2	7	4	13	3
chr1.11272919.11274078	20	40	38	16	12	19	2	20	29	19	17	10	48	21	24	12	11	4	20	9	6	4	8	44	2
chr1.11680738.11681773	19	15	14	2	6	13	4	7	9	5	3	6	21	2	12	6	6	2	7	1	3	0	2	14	0
chr1.11707483.11708247	23	4	6	7	2	4	5	6	9	4	5	3	18	8	14	6	8	0	8	3	1	1	3	11	1
chr1.11735803.11736833	26	15	13	8	6	8	3	9	5	2	11	0	22	7	17	9	8	5	12	7	1	3	3	8	1
chr1.11786968.11788442	20	18	17	9	4	10	7	23	21	8	14	7	34	12	54	14	10	7	24	18	7	10	12	35	7
chr1.11788673.11793441	66	33	46	27	8	62	13	54	48	23	49	16	130	31	118	48	23	9	72	21	23	14	43	96	26
chr1.11802677.11804025	22	22	19	10	6	32	6	21	18	9	16	8	40	21	53	16	5	4	25	7	4	8	10	34	7
chr1.11804609.11806983	68	79	67	25	22	64	16	38	38	35	40	15	83	33	70	24	21	15	41	18	8	10	21	66	9
chr1.11840775.11842769	8	16	9	4	2	14	7	14	9	4	4	4	56	9	30	21	9	6	28	13	5	3	8	29	4
chr1.11846271.11848859	15	10	13	7	2	15	11	24	8	9	4	11	46	17	59	22	5	7	52	18	10	3	16	71	13
chr1.11856587.11859905	24	29	17	9	5	18	7	22	7	18	7	11	59	22	41	24	16	7	70	30	8	21	22	75	11
chr1.11880127.11882164	19	15	14	7	3	16	8	9	11	7	2	7	43	11	38	19	7	4	27	7	9	4	11	45	4
chr1.11882802.11883616	6	11	11	1	3	11	2	18	3	2	3	4	38	19	35	15	3	10	20	19	4	8	11	36	4
chr1.11907626.11910200	81	64	49	24	14	43	6	28	81	36	47	22	139	30	63	35	33	11	52	18	18	9	22	53	6
chr1.11925933.11926616	9	28	11	9	2	11	1	11	6	4	6	6	12	9	18	5	9	2	15	6	2	1	3	14	0
chr1.11934149.11935305	18	22	10	3	1	18	4	12	10	8	4	7	33	13	33	13	13	2	19	15	1	4	11	24	2
chr1.11979589.11981179	39	75	68	24	17	36	11	29	27	17	11	15	105	43	70	32	22	12	50	34	18	18	25	65	7
chr1.11988850.11992480	54	30	30	10	9	38	10	53	32	10	21	17	108	33	99	49	16	8	76	21	15	10	36	78	8
chr1.12014236.12015200	15	9	8	2	2	11	1	8	3	5	3	2	31	8	19	8	3	1	19	6	3	3	2	8	5
chr1.12019077.12020145	19	18	16	8	10	16	7	13	9	6	16	4	27	15	37	9	7	5	20	6	3	3	10	24	1
chr1.12229886.12231652	57	43	57	10	9	22	6	25	28	24	20	17	49	28	37	21	20	10	27	16	6	7	12	28	5
chr1.12453846.12455046	17	20	15	1	2	12	5	6	9	10	7	7	17	5	10	10	6	1	3	3	1	1	3	6	2
chr1.12495569.12497013	31	12	10	9	3	11	2	7	17	7	6	2	29	14	13	9	8	1	18	7	4	8	8	30	4
chr1.12594901.12596653	48	22	18	14	5	18	3	15	22	13	12	8	36	8	30	10	12	4	17	8	5	8	7	18	1
chr1.12615883.12617296	25	23	15	10	2	23	5	13	29	14	13	5	37	5	24	6	11	3	16	7	1	2	4	11	3
chr1.12618055.12620052	62	49	33	20	9	28	3	16	38	16	39	14	69	21	26	15	24	5	31	13	8	14	23	27	5
chr1.13583689.13584731	13	35	14	6	9	12	1	10	11	10	1	7	26	11	27	9	6	5	13	8	7	7	12	24	0
chr1.13748923.13749994	24	21	25	10	11	20	2	9	13	9	7	5	30	10	19	10	10	5	18	2	2	4	10	20	4
chr1.14597956.14599684	42	35	14	14	7	19	6	18	10	8	11	15	35	23	41	12	16	8	39	22	8	8	11	39	5
chr1.14627063.14628207	30	11	6	17	4	19	1	7	14	2	7	3	16	7	22	5	13	4	16	6	4	5	10	24	3
chr1.14731987.14733951	58	18	8	15	3	12	7	5	19	10	13	9	27	10	21	10	15	4	24	19	3	4	6	17	4
chr1.15139568.15140471	35	5	11	11	2	11	3	12	13	6	13	5	22	7	33	11	10	1	16	6	2	4	7	22	2
chr1.15152267.15154222	35	32	23	13	3	19	7	20	19	13	14	12	40	7	36	11	11	2	25	12	3	7	4	21	0
chr1.15523884.15525681	49	67	65	22	10	44	6	43	27	29	20	18	91	20	73	27	13	5	53	18	11	14	12	54	12
chr1.15526382.15527434	23	39	26	9	5	24	3	21	16	18	8	9	43	18	22	10	9	3	8	10	7	10	9	15	2
chr1.15603261.15603730	8	10	3	7	1	9	2	2	3	3	5	5	11	5	11	7	3	2	6	1	1	4	3	10	0
chr1.15616744.15618545	54	50	53	24	5	37	9	16	35	25	24	22	54	20	47	14	21	5	34	10	5	7	18	34	7
chr1.15683308.15685298	53	41	31	17	5	22	4	16	41	19	31	15	50	28	38	22	23	6	33	13	10	12	23	26	1
chr1.15703199.15704194	23	10	15	15	1	25	1	11	14	8	13	4	29	12	18	7	5	1	12	5	3	4	12	14	5
chr1.15714216.15715127	26	15	8	6	3	12	6	5	16	3	13	2	14	4	19	6	5	3	10	5	8	2	1	12	3
chr1.15758478.15759574	23	20	12	4	4	15	4	7	10	7	10	5	29	9	23	10	14	3	17	7	1	7	8	16	1
chr1.15795113.15795699	21	14	6	4	2	16	1	5	16	3	8	1	13	5	10	2	5	4	14	6	4	2	4	5	0
chr1.15800017.15800981	21	16	10	4	2	19	8	16	13	9	10	3	26	6	16	17	11	0	20	5	4	5	6	16	2
chr1.15833988.15836370	54	58	59	17	16	42	17	41	32	29	18	32	119	28	76	33	29	12	46	16	7	13	26	50	13
chr1.15847236.15850609	53	107	91	16	20	40	8	31	48	55	31	21	113	49	71	18	30	17	54	20	9	14	20	60	7
chr1.15916337.15917449	29	11	16	9	1	8	1	9	34	4	10	2	21	7	14	4	10	5	23	13	4	6	12	14	3
chr1.15949274.15950418	16	6	12	6	2	15	5	9	16	5	2	5	32	11	24	8	7	3	12	4	7	5	5	23	4
chr1.15975509.15976374	16	21	16	4	4	18	3	9	9	9	7	12	23	11	15	13	11	7	15	7	4	2	6	21	1
chr1.16012562.16020865	222	176	160	55	39	177	40	133	164	82	97	66	529	121	320	125	47	37	187	86	39	48	75	253	47
chr1.16048182.16049408	3	12	5	5	1	13	4	18	2	1	4	3	16	5	24	11	1	4	2	5	1	1	9	22	5
chr1.16111241.16112462	10	7	7	5	3	13	2	9	7	11	12	3	22	13	31	26	2	2	3	2	0	0	7	11	7
chr1.16138069.16142211	92	47	52	21	8	46	15	37	63	35	42	22	102	32	85	24	22	6	57	27	9	15	44	50	10
chr1.16143219.16147654	123	139	104	30	25	108	22	75	87	42	55	44	246	68	177	60	58	21	124	54	29	24	64	142	26
chr1.16148399.16156958	249	205	150	90	32	121	40	77	200	118	137	60	337	93	196	74	103	33	220	89	36	40	89	144	24
chr1.16167447.16168042	19	8	9	5	2	8	6	8	12	5	6	2	17	11	16	5	5	3	12	3	0	1	10	16	1
chr1.16172923.16174201	38	13	14	17	6	14	6	20	22	5	14	3	29	7	20	10	11	5	17	8	4	9	7	8	5
chr1.16175438.16176930	24	13	13	5	3	20	9	11	20	3	10	3	42	12	38	24	4	2	20	7	1	4	10	31	8
chr1.16181437.16183022	29	15	11	13	4	21	3	16	15	7	16	11	54	19	36	26	9	4	22	9	3	6	9	29	2
chr1.16184271.16185105	23	6	1	13	1	13	4	3	9	2	11	9	13	5	11	2	1	1	11	3	1	2	4	5	3
chr1.16206546.16207140	15	13	3	3	3	10	0	9	6	5	6	4	16	5	24	10	4	1	2	4	0	6	4	12	3
chr1.16351536.16353019	40	48	37	17	14	24	6	20	22	18	21	17	44	26	33	16	11	6	19	16	13	5	12	31	2
chr1.16366993.16368681	62	78	55	8	11	24	5	23	40	24	34	17	64	19	39	16	32	11	49	25	7	17	18	51	7
chr1.16375121.16376382	18	9	15	8	5	11	5	15	15	9	9	8	32	13	22	15	10	3	15	13	4	3	8	14	2
chr1.16440258.16441551	27	42	21	8	1	14	1	13	18	17	15	10	26	7	28	12	6	1	18	6	3	6	9	15	3
chr1.16498785.16499769	17	15	16	4	4	6	2	6	8	7	6	6	28	9	13	10	7	5	11	3	1	5	11	24	2
chr1.16612605.16613986	56	56	44	22	11	27	8	30	35	24	20	14	66	30	53	26	16	4	40	10	10	9	13	37	4
chr1.16643836.16645321	19	17	18	15	6	20	8	15	17	10	8	11	35	13	45	14	3	3	7	8	3	4	12	17	3
chr1.16903448.16905695	57	47	60	23	9	41	15	38	24	19	13	25	141	35	83	24	16	14	61	30	21	12	36	78	15
chr1.16913561.16914531	12	13	20	12	2	14	5	13	9	4	4	3	36	8	27	16	8	4	17	9	3	1	6	25	4
chr1.17053236.17054460	20	34	26	9	7	16	3	13	14	9	10	9	41	15	33	8	6	7	19	8	2	1	11	20	3
chr1.17128117.17129676	26	14	16	15	6	26	2	11	10	9	5	4	22	8	18	9	11	6	34	14	2	5	8	16	6
chr1.17155192.17156345	7	12	17	5	2	10	4	9	3	1	1	3	7	6	7	6	2	3	15	6	2	2	9	7	3
chr1.17212370.17213613	22	9	11	10	3	14	7	13	12	2	4	4	26	5	25	11	4	5	27	13	3	5	5	14	5
chr1.17437372.17440529	64	69	52	20	12	28	3	16	37	39	28	19	69	25	41	17	35	10	27	20	20	9	11	32	7
