"","chr","start","end","length","abs_summit","pileup","-log10(pvalue)","fold_enrichment","-log10(qvalue)","name"
"42","chr1",1308017,1308252,236,1308168,11,6.7943,4.56886,3.83493,"NA_peak_42"
"43","chr1",1375198,1375531,334,1375391,27,28.39662,13.10088,24.21097,"NA_peak_43"
"44","chr1",1382350,1382703,354,1382444,7,8.15905,5.81881,5.07241,"NA_peak_44"
"45","chr1",1399323,1400041,719,1399486,21,20.87077,10.64152,17.01657,"NA_peak_45"
"46","chr1",1433956,1434084,129,1433962,7,4.82523,3.89358,2.08692,"NA_peak_46"
"47","chr1",1471636,1471764,129,1471674,9,6.88823,4.95897,3.9197,"NA_peak_47"
"48","chr1",1504883,1505046,164,1504885,5,4.63467,3.88,1.96758,"NA_peak_48"
"49","chr1",1511713,1512161,449,1512078,20,19.55571,10.15782,15.7642,"NA_peak_49"
"50","chr1",1574506,1574973,468,1574886,15,15.5724,9.11133,11.98767,"NA_peak_50"
"51","chr1",1583075,1583215,141,1583075,5,4.93336,4.04624,2.18315,"NA_peak_51"
"52","chr1",1615194,1615851,658,1615385,33,34.50715,14.40904,30.09267,"NA_peak_52"
"53","chr1",1625089,1625373,285,1625274,17,15.43429,8.52334,11.85767,"NA_peak_53"
"54","chr1",1658881,1659435,555,1659161,18,20.04533,11.01904,16.2288,"NA_peak_54"
"55","chr1",1692403,1693557,1155,1693002,30,24.56514,9.86916,20.53918,"NA_peak_55"
"56","chr1",1724246,1724686,441,1724397,22,22.79166,11.47797,18.84741,"NA_peak_56"
"57","chr1",1746281,1746827,547,1746661,32,29.52992,11.92951,25.30007,"NA_peak_57"
"58","chr1",1778766,1779142,377,1778887,8,7.03965,5.18136,4.0568,"NA_peak_58"
"59","chr1",1873238,1873386,149,1873291,9,9.91184,6.74373,6.68508,"NA_peak_59"
"60","chr1",1891001,1891193,193,1891055,7,5.9491,4.60565,3.08821,"NA_peak_60"
"61","chr1",1906323,1906465,143,1906378,9,7.06509,5.07081,4.08153,"NA_peak_61"
"62","chr1",1908829,1909307,479,1909101,11,9.4429,6.22536,6.25136,"NA_peak_62"
"63","chr1",1919259,1919761,503,1919505,37,35.14364,13.22081,30.70754,"NA_peak_63"
"64","chr1",1944116,1944469,354,1944195,6,6.25332,4.80292,3.34402,"NA_peak_64"
"65","chr1",1959943,1960274,332,1960119,14,14.29798,8.57289,10.78616,"NA_peak_65"
"66","chr1",2050151,2050399,249,2050273,12,10.85137,6.90342,7.5562,"NA_peak_66"
"67","chr1",2104973,2105147,175,2105094,7,5.46826,4.30638,2.66086,"NA_peak_67"
"68","chr1",2133209,2133658,450,2133343,23,18.32423,8.51947,14.5927,"NA_peak_68"
"69","chr1",2135538,2135728,191,2135606,20,14.61424,7.22637,11.08365,"NA_peak_69"
"70","chr1",2189585,2189911,327,2189695,19,20.13569,10.80289,16.31551,"NA_peak_70"
"71","chr1",2194833,2195398,566,2194893,14,9.98723,5.94102,6.75549,"NA_peak_71"
"72","chr1",2199314,2199567,254,2199433,26,24.00898,10.85777,20.00781,"NA_peak_72"
"73","chr1",2227616,2228046,431,2227806,34,33.08196,13.19815,28.71834,"NA_peak_73"
"74","chr1",2240298,2240489,192,2240403,14,14.6783,8.79647,11.14389,"NA_peak_74"
"75","chr1",2246588,2246779,192,2246674,5,4.96553,4.06365,2.2124,"NA_peak_75"
"76","chr1",2279251,2279561,311,2279479,14,12.69607,7.60621,9.28061,"NA_peak_76"
"77","chr1",2314427,2314588,162,2314486,10,8.51373,5.82172,5.3982,"NA_peak_77"
"78","chr1",2391562,2391809,248,2391679,17,17.58339,9.82374,13.89002,"NA_peak_78"
"79","chr1",2412346,2413008,663,2412588,27,25.48378,11.37617,21.41736,"NA_peak_79"
"80","chr1",2526062,2526347,286,2526250,12,12.61101,7.94941,9.20056,"NA_peak_80"
"81","chr1",2546070,2546206,137,2546079,8,6.49359,4.84467,3.56298,"NA_peak_81"
"82","chr1",2586404,2586698,295,2586620,17,16.92951,9.4313,13.27092,"NA_peak_82"
"83","chr1",2642765,2643211,447,2642888,7,6.95395,5.19467,3.98002,"NA_peak_83"
"84","chr1",2654953,2655428,476,2655130,13,6.07177,3.82961,3.17985,"NA_peak_84"
"85","chr1",2697746,2697885,140,2697821,8,6.6565,4.94617,3.71029,"NA_peak_85"
"86","chr1",2748481,2748691,211,2748536,6,4.17287,3.56104,1.57697,"NA_peak_86"
"87","chr1",2749865,2750210,346,2750086,8,5.69925,4.34001,2.86489,"NA_peak_87"
"88","chr1",2756820,2756992,173,2756963,8,6.33839,4.74726,3.42137,"NA_peak_88"
"89","chr1",3165144,3165668,525,3165501,9,9.64762,6.60229,6.44075,"NA_peak_89"
"90","chr1",3170585,3170713,129,3170626,8,7.23244,5.29762,4.23289,"NA_peak_90"
"91","chr1",3171036,3171196,161,3171112,8,7.43687,5.41922,4.40908,"NA_peak_91"
"92","chr1",3292209,3292649,441,3292451,19,17.69295,9.33004,13.99389,"NA_peak_92"
"93","chr1",3313193,3313423,231,3313325,19,20.91911,11.26687,17.06259,"NA_peak_93"
"94","chr1",3328182,3328447,266,3328234,12,11.37257,7.2201,8.04309,"NA_peak_94"
"95","chr1",3349110,3349479,370,3349281,28,26.07529,11.37151,21.98502,"NA_peak_95"
"96","chr1",3423364,3423642,279,3423518,10,8.77471,5.98265,5.63783,"NA_peak_96"
"97","chr1",3453243,3453402,160,3453299,11,9.96987,6.54916,6.73912,"NA_peak_97"
"98","chr1",3502253,3502395,143,3502310,11,7.84634,5.22626,4.78492,"NA_peak_98"
"99","chr1",3624536,3625013,478,3624798,19,19.2534,10.27402,15.47471,"NA_peak_99"
"100","chr1",3643795,3644138,344,3644086,7,7.32085,5.39498,4.31133,"NA_peak_100"
"101","chr1",3694830,3694965,136,3694944,7,5.97675,4.62256,3.11122,"NA_peak_101"
"102","chr1",3747345,3747476,132,3747409,9,8.90471,6.18704,5.75281,"NA_peak_102"
"103","chr1",3772487,3772704,218,3772657,9,6.01853,4.40396,3.14939,"NA_peak_103"
"104","chr1",3796269,3796652,384,3796607,16,19.32116,11.03868,15.53991,"NA_peak_104"
"105","chr1",3801589,3801717,129,3801635,11,12.41064,7.95612,9.01196,"NA_peak_105"
"106","chr1",3816358,3816533,176,3816466,5,5.27752,4.22736,2.48992,"NA_peak_106"
"107","chr1",3856990,3857655,666,3857294,26,28.12965,13.30539,23.95473,"NA_peak_107"
"108","chr1",3900257,3901502,1246,3900777,32,27.4169,10.76722,23.27067,"NA_peak_108"
"109","chr1",4712584,4712751,168,4712623,4,4.08703,3.5071,1.50215,"NA_peak_109"
"110","chr1",4939456,4939661,206,4939587,10,11.39341,7.48222,8.06256,"NA_peak_110"
"111","chr1",5423151,5423350,200,5423240,8,8.90029,6.2295,5.74911,"NA_peak_111"
"112","chr1",5745924,5746058,135,5745962,10,9.19984,6.24146,6.02671,"NA_peak_112"
"113","chr1",5975258,5975558,301,5975328,6,6.33417,4.84517,3.41743,"NA_peak_113"
"114","chr1",5992376,5992690,315,5992566,17,17.08744,9.52644,13.41953,"NA_peak_114"
"115","chr1",6127854,6127991,138,6127975,8,6.97776,5.14373,4.00177,"NA_peak_115"
"116","chr1",6199390,6199811,422,6199650,20,23.1064,12.26935,19.14709,"NA_peak_116"
"117","chr1",6205799,6206337,539,6206099,18,15.4036,8.22937,11.82867,"NA_peak_117"
"118","chr1",6222643,6222967,325,6222811,9,8.21036,5.7782,5.12032,"NA_peak_118"
"119","chr1",6235861,6236032,172,6235949,9,9.59683,6.57471,6.39371,"NA_peak_119"
"120","chr1",6276402,6276544,143,6276520,8,6.85732,5.07009,3.89227,"NA_peak_120"
"121","chr1",6393289,6393838,550,6393641,9,8.42811,5.90834,5.31978,"NA_peak_121"
"122","chr1",6486563,6486714,152,6486679,12,10.1434,6.46704,6.89989,"NA_peak_122"
"123","chr1",6490547,6490678,132,6490557,7,4.84381,3.90565,2.10367,"NA_peak_123"
"124","chr1",6497541,6497784,244,6497574,10,8.54546,5.84136,5.42664,"NA_peak_124"
"125","chr1",6515901,6516103,203,6515958,11,10.083,6.618,6.84363,"NA_peak_125"
"126","chr1",6554497,6554667,171,6554545,7,7.15239,5.30408,4.15938,"NA_peak_126"
"127","chr1",6579878,6580159,282,6579939,12,12.19693,7.70979,8.81207,"NA_peak_127"
"128","chr1",6602775,6603109,335,6602979,16,12.71309,7.12775,9.29616,"NA_peak_128"
"129","chr1",6613458,6613768,311,6613607,35,38.36189,15.85427,33.81871,"NA_peak_129"
"130","chr1",6625220,6625442,223,6625420,7,6.11903,4.709,3.22213,"NA_peak_130"
"131","chr1",6672630,6672869,240,6672773,10,11.0361,7.29311,7.72923,"NA_peak_131"
"132","chr1",6701642,6702003,362,6701869,16,19.40593,11.0844,15.6208,"NA_peak_132"
"133","chr1",6784569,6785423,855,6785108,32,31.08627,12.81232,26.79765,"NA_peak_133"
"134","chr1",6950165,6950317,153,6950238,11,11.50109,7.45375,8.16284,"NA_peak_134"
"135","chr1",6962432,6963203,772,6963059,48,44.01689,13.83647,39.30913,"NA_peak_135"
"136","chr1",7117644,7117791,148,7117715,6,6.50345,4.93192,3.57108,"NA_peak_136"
"137","chr1",7208039,7208186,148,7208055,6,7.42378,5.36218,4.3972,"NA_peak_137"
"138","chr1",7369985,7370166,182,7370072,9,8.42811,5.90834,5.31978,"NA_peak_138"
"139","chr1",7401858,7402096,239,7401936,8,9.60564,6.57655,6.40156,"NA_peak_139"
"140","chr1",7680493,7680647,155,7680544,6,5.58689,4.43554,2.76615,"NA_peak_140"
"141","chr1",7771115,7771316,202,7771168,7,8.216,5.84583,5.12469,"NA_peak_141"
"142","chr1",7783865,7784253,389,7784041,46,52.20549,19.04655,47.30675,"NA_peak_142"
"143","chr1",7961321,7961921,601,7961563,71,83.2403,24.14273,77.98528,"NA_peak_143"
"144","chr1",8004814,8005067,254,8004934,12,11.768,7.45691,8.41287,"NA_peak_144"
"145","chr1",8005246,8005379,134,8005293,9,7.90556,5.59339,4.83879,"NA_peak_145"
"146","chr1",8026157,8026448,292,8026335,9,7.77765,5.515,4.72257,"NA_peak_146"
"147","chr1",8077227,8077438,212,8077382,6,6.59219,4.97647,3.65113,"NA_peak_147"
"148","chr1",8083585,8083756,172,8083590,6,6.13642,4.74092,3.23831,"NA_peak_148"
"149","chr1",8121391,8121591,201,8121429,6,6.59219,4.97647,3.65113,"NA_peak_149"
"150","chr1",8397008,8397164,157,8397070,6,7.13911,5.23666,4.14792,"NA_peak_150"
"151","chr1",8412267,8412461,195,8412421,5,5.13358,4.153,2.36165,"NA_peak_151"
"152","chr1",8501366,8501657,292,8501605,6,5.61809,4.45347,2.79241,"NA_peak_152"
"153","chr1",8525925,8526187,263,8526088,12,14.24456,8.84262,10.73577,"NA_peak_153"
"154","chr1",8626575,8626755,181,8626643,6,7.25124,5.28691,4.24892,"NA_peak_154"
"155","chr1",8703261,8703688,428,8703572,25,25.68911,12.20138,21.61399,"NA_peak_155"
"156","chr1",8817579,8818042,464,8817760,18,19.12617,10.4785,15.35428,"NA_peak_156"
"157","chr1",8848810,8849155,346,8849032,21,22.02913,11.33842,18.12058,"NA_peak_157"
"158","chr1",8858122,8858305,184,8858179,12,12.94502,8.13914,9.51418,"NA_peak_158"
"159","chr1",8878667,8879347,681,8878811,19,18.11488,9.58574,14.39477,"NA_peak_159"
"160","chr1",9128877,9129345,469,9129223,11,9.50972,6.26667,6.31217,"NA_peak_160"
"161","chr1",9129527,9129680,154,9129553,9,7.38994,5.27473,4.37531,"NA_peak_161"
"162","chr1",9136984,9137124,141,9137041,5,6.06117,4.59616,3.16979,"NA_peak_162"
"163","chr1",9234330,9235014,685,9234568,10,8.54546,5.84136,5.42664,"NA_peak_163"
"164","chr1",9253854,9253984,131,9253913,12,12.09844,7.65212,8.71939,"NA_peak_164"
"165","chr1",9267179,9267331,153,9267324,9,9.59683,6.57471,6.39371,"NA_peak_165"
"166","chr1",9275646,9275830,185,9275688,9,8.24579,5.79949,5.15149,"NA_peak_166"
"167","chr1",9295009,9295186,178,9295136,6,4.95685,4.05964,2.20487,"NA_peak_167"
"168","chr1",9384850,9384992,143,9384915,10,9.05326,6.15273,5.89071,"NA_peak_168"
"169","chr1",9413123,9413435,313,9413163,6,4.70307,3.90151,2.02462,"NA_peak_169"
"170","chr1",9428922,9429121,200,9429021,15,16.59951,9.70846,12.95854,"NA_peak_170"
"171","chr1",9444001,9444284,284,9444221,6,6.41749,4.88816,3.49356,"NA_peak_171"
"172","chr1",9496759,9496897,139,9496843,4,4.24407,3.58703,1.63538,"NA_peak_172"
"173","chr1",9531189,9531315,127,9531252,4,4.31071,3.62003,1.69224,"NA_peak_173"
"174","chr1",9539216,9539490,275,9539317,29,31.72662,14.33495,27.41291,"NA_peak_174"
"175","chr1",9588568,9588760,193,9588683,14,14.56713,8.73141,11.03961,"NA_peak_175"
"176","chr1",9627147,9627302,156,9627171,9,8.94722,6.21146,5.79192,"NA_peak_176"
"177","chr1",9719205,9719340,136,9719302,11,9.4429,6.22536,6.25136,"NA_peak_177"
"178","chr1",9766792,9767033,242,9766962,6,6.92752,5.13896,3.95552,"NA_peak_178"
"179","chr1",9809287,9809479,193,9809323,6,6.09855,4.72061,3.20344,"NA_peak_179"
"180","chr1",9886168,9886316,149,9886221,10,9.75723,6.5732,6.54142,"NA_peak_180"
"181","chr1",9900342,9900656,315,9900432,18,20.3296,11.18387,16.49956,"NA_peak_181"
"182","chr1",9910156,9910742,587,9910543,50,56.87798,19.84982,51.89561,"NA_peak_182"
"183","chr1",9922391,9922584,194,9922440,8,9.06408,6.31278,5.9005,"NA_peak_183"
"184","chr1",9943241,9943491,251,9943425,13,14.19342,8.69604,10.68728,"NA_peak_184"
"185","chr1",10032566,10033170,605,10032838,44,52.31988,20.04214,47.41904,"NA_peak_185"
"186","chr1",10108256,10108488,233,10108354,5,5.86589,4.51,3.01299,"NA_peak_186"
"187","chr1",10155303,10155495,193,10155358,5,5.3917,4.2849,2.59253,"NA_peak_187"
"188","chr1",10210167,10210648,482,10210437,44,51.0093,19.27842,46.13507,"NA_peak_188"
"189","chr1",10289305,10289501,197,10289358,5,5.63841,4.40482,2.81067,"NA_peak_189"
"190","chr1",10378542,10378694,153,10378574,4,4.60322,3.75833,1.93964,"NA_peak_190"
"191","chr1",10398550,10399447,898,10398940,28,28.2238,12.63013,24.04446,"NA_peak_191"
"192","chr1",10472452,10472612,161,10472524,19,21.78697,11.7725,17.88926,"NA_peak_192"
"193","chr1",10528434,10528638,205,10528512,9,10.49954,7.0456,7.22806,"NA_peak_193"
"194","chr1",10663623,10663947,325,10663823,25,23.12053,10.6738,19.16026,"NA_peak_194"
"195","chr1",10717487,10717666,180,10717608,13,8.94601,5.51719,5.79192,"NA_peak_195"
"196","chr1",10744406,10744659,254,10744559,9,9.49717,6.52024,6.3013,"NA_peak_196"
"197","chr1",10793973,10794123,151,10794052,7,7.0318,5.23789,4.05039,"NA_peak_197"
"198","chr1",10836013,10836249,237,10836176,10,9.59034,6.47487,6.38834,"NA_peak_198"
"199","chr1",10962588,10962738,151,10962653,9,10.31399,6.95224,7.05653,"NA_peak_199"
"200","chr1",11012550,11013146,597,11012638,7,6.62621,5.0087,3.68273,"NA_peak_200"
"201","chr1",11060068,11060320,253,11060151,16,16.46584,9.40847,12.83257,"NA_peak_201"
"202","chr1",11099409,11099661,253,11099439,8,8.17848,5.844,5.09009,"NA_peak_202"
"203","chr1",11176328,11176707,380,11176455,17,19.03264,10.67509,15.26495,"NA_peak_203"
"204","chr1",11262504,11262852,349,11262675,29,32.02253,14.51117,27.69721,"NA_peak_204"
"205","chr1",11273169,11273701,533,11273411,15,17.00522,9.93834,13.34158,"NA_peak_205"
"206","chr1",11374103,11374385,283,11374249,6,5.61809,4.45347,2.79241,"NA_peak_206"
"207","chr1",11478975,11479297,323,11479079,6,5.13277,4.16713,2.36165,"NA_peak_207"
"208","chr1",11535027,11535176,150,11535039,5,5.06487,4.11679,2.30024,"NA_peak_208"
"209","chr1",11594308,11594543,236,11594444,7,8.84383,6.12821,5.69667,"NA_peak_209"
"210","chr1",11642517,11642648,132,11642587,5,6.01368,4.57555,3.14471,"NA_peak_210"
"211","chr1",11790876,11791128,253,11791031,26,25.00352,11.44247,20.95859,"NA_peak_211"
"212","chr1",11792419,11792673,255,11792654,10,6.49805,4.55145,3.56736,"NA_peak_212"
"213","chr1",11803554,11803800,247,11803715,27,19.89495,8.26231,16.08686,"NA_peak_213"
"214","chr1",11805622,11806280,659,11806056,46,43.71454,14.40916,39.01444,"NA_peak_214"
"215","chr1",11836266,11836392,127,11836340,6,6.29344,4.82395,3.38124,"NA_peak_215"
"216","chr1",11842155,11842446,292,11842229,10,7.95352,5.47211,4.88405,"NA_peak_216"
"217","chr1",11847841,11848280,440,11847957,21,20.92518,10.67433,17.0681,"NA_peak_217"
"218","chr1",11858833,11859531,699,11859437,9,7.59365,5.40144,4.55243,"NA_peak_218"
"219","chr1",11881056,11881314,259,11881270,11,7.30703,4.88812,4.3009,"NA_peak_219"
"220","chr1",11882868,11883387,520,11883022,33,31.64748,12.75992,27.33621,"NA_peak_220"
"221","chr1",11908332,11908647,316,11908449,8,6.31323,4.7314,3.3991,"NA_peak_221"
"222","chr1",11908884,11909073,190,11909048,8,6.4672,4.82816,3.53885,"NA_peak_222"
"223","chr1",11918989,11919123,135,11919050,5,5.43105,4.30443,2.62751,"NA_peak_223"
"224","chr1",11934528,11934772,245,11934596,17,18.6919,10.47769,14.94156,"NA_peak_224"
"225","chr1",11979918,11980466,549,11980195,50,50.42973,16.33548,45.56512,"NA_peak_225"
"226","chr1",11990677,11991107,431,11990952,21,20.39587,10.35512,16.56314,"NA_peak_226"
"227","chr1",12014704,12014925,222,12014876,11,7.64409,5.09927,4.60025,"NA_peak_227"
"228","chr1",12019211,12019549,339,12019375,26,25.10832,11.50443,21.05857,"NA_peak_228"
"229","chr1",12031366,12031568,203,12031477,8,7.47216,5.44003,4.44215,"NA_peak_229"
"230","chr1",12038745,12039112,368,12038884,9,8.17525,5.75707,5.08752,"NA_peak_230"
"231","chr1",12162024,12162192,169,12162124,7,6.2685,4.79873,3.35765,"NA_peak_231"
"232","chr1",12478197,12478503,307,12478250,9,10.37489,6.98308,7.11284,"NA_peak_232"
"233","chr1",12540234,12540530,297,12540328,9,9.39998,6.46666,6.21142,"NA_peak_233"
"234","chr1",12604369,12604639,271,12604558,8,8.26661,5.89262,5.1715,"NA_peak_234"
"235","chr1",13343519,13343659,141,13343591,6,6.77879,5.06804,3.82014,"NA_peak_235"
"236","chr1",13535344,13535472,129,13535377,7,7.54509,5.51309,4.50842,"NA_peak_236"
"237","chr1",13583936,13584408,473,13584196,6,6.33417,4.84517,3.41743,"NA_peak_237"
"238","chr1",13749167,13749425,259,13749277,12,13.30208,8.33814,9.84977,"NA_peak_238"
"239","chr1",14617829,14618110,282,14617991,8,8.79513,6.17519,5.65562,"NA_peak_239"
"240","chr1",14742287,14742493,207,14742319,6,6.97893,5.16304,4.00177,"NA_peak_240"
"241","chr1",14937533,14937769,237,14937704,5,5.47107,4.32414,2.66276,"NA_peak_241"
"242","chr1",15090526,15090661,136,15090574,6,6.68391,5.02184,3.73487,"NA_peak_242"
"243","chr1",15128637,15128774,138,15128728,10,11.85049,7.71562,8.48772,"NA_peak_243"
"244","chr1",15139817,15140085,269,15139938,16,18.67788,10.686,14.92831,"NA_peak_244"
"245","chr1",15153636,15153826,191,15153746,11,9.40986,6.20491,6.2209,"NA_peak_245"
"246","chr1",15197109,15197269,161,15197226,4,4.02771,3.47612,1.45129,"NA_peak_246"
"247","chr1",15409761,15409935,175,15409882,15,15.24613,8.91774,11.67987,"NA_peak_247"
"248","chr1",15492647,15492872,226,15492761,9,10.13666,6.86132,6.89365,"NA_peak_248"
"249","chr1",15524161,15524796,636,15524613,22,15.51038,7.22005,11.92967,"NA_peak_249"
"250","chr1",15526511,15526898,388,15526723,35,30.0147,11.16731,25.76539,"NA_peak_250"
"251","chr1",15603342,15603708,367,15603650,10,11.21113,7.38645,7.89127,"NA_peak_251"
"252","chr1",15617293,15618016,724,15617431,14,14.96566,8.96346,11.41552,"NA_peak_252"
"253","chr1",15800358,15800740,383,15800600,13,12.99536,8.00136,9.56165,"NA_peak_253"
"254","chr1",15834411,15834684,274,15834445,11,8.59944,5.69938,5.47603,"NA_peak_254"
"255","chr1",15834885,15835135,251,15835055,10,7.48637,5.17756,4.4554,"NA_peak_255"
"256","chr1",15835883,15836052,170,15835952,14,11.70692,6.99753,8.35566,"NA_peak_256"
"257","chr1",15847451,15847868,418,15847608,15,14.83579,8.67207,11.29325,"NA_peak_257"
"258","chr1",15849507,15849649,143,15849541,7,5.39918,4.26264,2.59941,"NA_peak_258"
"259","chr1",15886361,15886587,227,15886472,10,12.06176,7.82017,8.68452,"NA_peak_259"
"260","chr1",15975520,15975666,147,15975562,7,6.76754,5.08968,3.81092,"NA_peak_260"
"261","chr1",15976049,15976193,145,15976080,6,5.68162,4.48977,2.84892,"NA_peak_261"
"262","chr1",16012941,16013437,497,16013342,21,12.4059,5.80606,9.00818,"NA_peak_262"
"263","chr1",16017963,16018325,363,16018137,45,38.1365,11.9991,33.60109,"NA_peak_263"
"264","chr1",16026768,16026998,231,16026850,12,9.82452,6.26891,6.6043,"NA_peak_264"
"265","chr1",16032929,16033096,168,16032986,14,12.98311,7.78171,9.55034,"NA_peak_265"
"266","chr1",16048575,16048861,287,16048670,19,17.73872,9.35777,14.03802,"NA_peak_266"
"267","chr1",16089202,16089338,137,16089273,5,4.44715,3.77153,1.81047,"NA_peak_267"
"268","chr1",16111782,16111999,218,16111843,10,8.91165,6.0665,5.75901,"NA_peak_268"
"269","chr1",16112951,16113210,260,16113125,11,9.47618,6.24595,6.28284,"NA_peak_269"
"270","chr1",16132750,16132899,150,16132777,7,6.36191,4.85423,3.44346,"NA_peak_270"
"271","chr1",16143926,16144148,223,16143986,21,15.03298,7.20803,11.4789,"NA_peak_271"
"272","chr1",16145850,16146205,356,16146028,17,11.78518,6.33248,8.42785,"NA_peak_272"
"273","chr1",16146402,16146552,151,16146514,11,6.27673,4.25015,3.36583,"NA_peak_273"
"274","chr1",16155843,16156227,385,16156179,13,10.25443,6.32482,7.0023,"NA_peak_274"
"275","chr1",16164281,16164479,199,16164393,8,7.10269,5.21954,4.11382,"NA_peak_275"
"276","chr1",16181818,16182196,379,16182010,12,12.50432,7.88812,9.10081,"NA_peak_276"
"277","chr1",16206605,16207110,506,16206690,19,18.35954,9.73394,14.62662,"NA_peak_277"
"278","chr1",16217449,16217691,243,16217552,24,27.06071,13.366,22.92941,"NA_peak_278"
"279","chr1",16226933,16227146,214,16227095,8,7.65432,5.54654,4.6087,"NA_peak_279"
"280","chr1",16237121,16237322,202,16237147,7,6.69605,5.04887,3.74477,"NA_peak_280"
"281","chr1",16266452,16266766,315,16266658,6,6.33417,4.84517,3.41743,"NA_peak_281"
"282","chr1",16352141,16352669,529,16352527,19,22.25842,12.04272,18.33936,"NA_peak_282"
"283","chr1",16366993,16367279,287,16367114,23,25.97619,13.05305,21.889,"NA_peak_283"
"284","chr1",16375717,16375848,132,16375811,5,4.96553,4.06365,2.2124,"NA_peak_284"
"285","chr1",16440324,16440488,165,16440334,6,5.77988,4.54534,2.93607,"NA_peak_285"
"286","chr1",16499132,16499341,210,16499199,14,13.79385,8.2725,10.31164,"NA_peak_286"
"287","chr1",16513804,16514679,876,16514145,59,57.84294,16.5275,52.84427,"NA_peak_287"
"288","chr1",16534750,16535404,655,16535057,24,22.23185,10.48199,18.31331,"NA_peak_288"
"289","chr1",16540622,16540755,134,16540702,11,11.76716,7.60379,8.41239,"NA_peak_289"
"290","chr1",16545790,16545933,144,16545871,7,8.84383,6.12821,5.69667,"NA_peak_290"
