time,peak,med_24h_lfc
24 hours,chr6.147063391.147064093,2.2101846695321252
24 hours,chr8.47857521.47858112,-3.1289224061753727
24 hours,chr17.12673806.12674332,2.535808204103125
24 hours,chr11.46294718.46295832,-1.0178339696226284
24 hours,chr7.75531372.75531829,1.4457496350391121
24 hours,chr10.9824764.9825866,1.686494981183008
24 hours,chr7.158704525.158705343,-0.9004099549539522
24 hours,chr1.22341956.22342554,-2.39817845280625
24 hours,chr11.82695597.82696158,-2.6306268480428
24 hours,chr5.128436711.128437278,2.0568495774821494
24 hours,chr19.29671521.29672137,1.613921047481075
24 hours,chr10.104424657.104425181,3.420024274955271
24 hours,chr6.81560973.81562716,1.9221777067788177
24 hours,chr12.106107565.106107992,1.919855544128083
24 hours,chr19.50484813.50486159,-3.743410244042849
24 hours,chr1.180526987.180527666,1.6362992713706914
24 hours,chr6.36683889.36684479,1.928416678680344
24 hours,chr5.150142869.150143844,1.6252482493897973
24 hours,chr4.12554926.12555617,3.178847384373347
24 hours,chr11.10458981.10459613,-1.7789071954317381
24 hours,chr3.131349564.131350768,1.2949612992374488
24 hours,chr6.138545614.138546067,-1.590683287161005
24 hours,chr12.13179496.13180217,-1.7246784407726934
24 hours,chr7.151226633.151227692,-0.5862948635929452
24 hours,chr1.157157195.157158199,2.7589543317720757
24 hours,chr13.29465616.29466371,1.3277686887856848
24 hours,chr20.35277396.35278320,-0.9395407058024654
24 hours,chr16.2042034.2042576,-3.2957752165499423
24 hours,chr17.44159519.44160208,1.5617363620162799
24 hours,chr11.130611620.130612851,1.4974735199872073
24 hours,chr3.46892096.46893651,-1.0622081883668981
24 hours,chr8.98165734.98166419,2.682673868470576
24 hours,chr4.186845127.186845766,1.989471641721357
24 hours,chr18.7856557.7857234,2.1480878417669884
24 hours,chr10.124646185.124646917,1.5926456943674903
24 hours,chr11.47415488.47416654,-1.02658467647061
24 hours,chr1.158067438.158068111,1.7326483233471117
24 hours,chr11.123494397.123495356,1.7035142132623227
24 hours,chr22.30289141.30290100,-0.8833882226932399
24 hours,chr5.149749340.149750190,1.981998448440657
24 hours,chr7.30911509.30912000,-1.9372411699170389
24 hours,chr2.160695364.160696415,2.434462435952425
24 hours,chr16.58110448.58111450,-2.3503420069639263
24 hours,chr1.36400661.36401707,-1.1749540282594921
24 hours,chr1.2279093.2279871,-1.92385839493671
24 hours,chr11.61888071.61888500,-1.6701907000452914
24 hours,chr2.219460403.219461776,-1.1520463045962828
24 hours,chr14.105490446.105491422,-0.8408336047688358
24 hours,chr16.88759204.88759810,-1.8294831716379902
24 hours,chr15.26261339.26262235,-2.551809991667251
24 hours,chr12.873945.874457,3.0643466531566625
24 hours,chr1.46520072.46521007,-1.3545257844677367
24 hours,chr7.5524956.5526033,-2.1956540710455354
24 hours,chr7.124246193.124247024,2.4333594099172724
24 hours,chr14.99563047.99563641,-1.2150167641324976
24 hours,chr14.100775518.100776573,-2.5942436596377076
24 hours,chr5.139659781.139660420,-1.694062698753119
24 hours,chr20.62623637.62624344,-1.7239987926567548
24 hours,chr1.106879403.106880119,-2.266171260891203
24 hours,chr3.52093625.52094147,1.5401441871472588
24 hours,chr3.83934226.83935062,1.8961243458118675
24 hours,chr19.20051802.20052764,-0.8523362452217667
24 hours,chr2.108945755.108946615,-2.8341664916788876
24 hours,chr19.5128276.5129297,-1.8104408252240471
24 hours,chr3.31077034.31078014,2.408266373976349
24 hours,chr9.110015769.110016932,1.9212166709051162
24 hours,chr19.39204738.39205211,-2.291148512355705
24 hours,chr17.69896475.69897168,2.3926598413669797
24 hours,chr22.35587418.35587975,-3.493823353480891
24 hours,chr14.55881552.55882251,1.7828516767491016
24 hours,chr7.44140152.44142144,-2.473932124980112
24 hours,chr17.74647983.74648791,-2.8733783490511646
24 hours,chr10.71338741.71339568,-1.7161741325736952
24 hours,chr4.3487935.3488869,2.497931002124253
24 hours,chr15.88881421.88882130,2.0350283474442463
24 hours,chr3.33115160.33115565,1.4931705735844996
24 hours,chr17.50060810.50061348,-1.9145009005322033
24 hours,chr5.13831496.13832040,1.8629020544133668
24 hours,chr19.38899322.38900269,-0.7825586530126953
24 hours,chr20.44495288.44496304,2.4370544580400555
24 hours,chr3.50600850.50601798,-1.5623667343987817
24 hours,chr21.42233157.42233838,-1.5454596564674379
24 hours,chr16.13957353.13958078,1.752669757765144
24 hours,chr14.87869645.87870439,2.3473919030828068
24 hours,chr2.218397694.218398921,-1.3561255081300532
24 hours,chr10.60611308.60612033,1.8280910017114076
24 hours,chr17.43417268.43418001,-1.922259258526617
24 hours,chr1.172466759.172467663,2.4389769953460436
24 hours,chr19.18519989.18520775,1.3306096166900616
24 hours,chr10.91653334.91654027,2.825453537426552
24 hours,chr1.17443472.17443876,3.198297863790762
24 hours,chr5.145975141.145976032,1.4398882993259248
24 hours,chr19.48637021.48638446,-0.8241028112637201
24 hours,chr16.9521903.9522489,1.9296195822991322
24 hours,chr9.136625009.136625634,-1.8213439851685385
24 hours,chr11.73787752.73788526,-0.8294238272580987
24 hours,chr5.6766430.6767078,-2.1485185470369195
24 hours,chr16.85162469.85162988,1.6707153533188839
24 hours,chr19.13747514.13748439,-0.9257823609695865
24 hours,chr1.187408137.187409793,2.0073367395035895
24 hours,chr19.2602357.2602830,-1.2512852141001258
24 hours,chr19.46413059.46413920,-1.2820822365025144
24 hours,chr18.36367084.36367793,-1.7885352329989264
24 hours,chr20.36100939.36101650,-1.9421092198825605
24 hours,chr5.139659107.139659614,-2.3882630239215867
24 hours,chr3.186160753.186161421,1.8266066792267344
24 hours,chrX.133726186.133726679,1.9851412652377893
24 hours,chr16.85234490.85236135,-1.2659649255278653
24 hours,chr19.15452136.15453337,-1.451273748963179
24 hours,chr12.91902801.91903784,3.849862290528703
24 hours,chr18.10139757.10140845,1.6033283956358768
24 hours,chr8.13246483.13247829,1.7029181374646272
24 hours,chr1.47561514.47562172,1.6046458049047405
24 hours,chr10.12068606.12069376,-0.6890539758559262
24 hours,chr16.24208562.24209244,-2.0168265401499164
24 hours,chr2.155099516.155100532,1.5215599782758988
24 hours,chr6.70398790.70399715,1.5757985058344448
24 hours,chr3.11453331.11453932,2.02863211229166
24 hours,chr5.150050059.150050803,3.0705147047186188
24 hours,chr1.56456513.56457086,2.501564581590001
24 hours,chr1.16451969.16452575,1.9954608946018837
24 hours,chr6.158042237.158042963,1.2194148758739027
24 hours,chr5.127892621.127893499,1.9071333483016084
24 hours,chr10.44480625.44481089,-3.5764415971368066
24 hours,chr2.219561208.219562048,-1.676133438602819
24 hours,chr11.86481349.86481903,3.4599340579818136
24 hours,chr18.39946428.39947410,1.4988512320935898
24 hours,chr2.109382863.109383380,-2.555653362374969
24 hours,chr22.24727010.24727798,2.0259384569726087
24 hours,chr4.100875511.100876052,3.095440533804566
24 hours,chr19.1507781.1508505,-1.3351306422545095
24 hours,chr14.72607891.72608954,2.1099524002925536
24 hours,chr12.122368357.122368868,1.9084436897665689
24 hours,chr14.34496780.34497432,1.9739978974023578
24 hours,chr13.49098064.49099029,1.4889983483867901
24 hours,chr1.198169684.198170385,1.4011927547957153
24 hours,chrX.134948325.134949791,1.50447500850749
24 hours,chr15.34794716.34796045,-1.694028992349395
24 hours,chr1.44801978.44803062,1.3122095725048473
24 hours,chr10.77247087.77247998,2.452517005192776
24 hours,chr12.124410362.124410976,-1.6467860664057847
24 hours,chr14.55448037.55448646,1.780784074198848
24 hours,chr2.88038285.88038846,2.0429144373518224
24 hours,chr14.67457801.67458465,-1.901094745840304
24 hours,chr14.101561254.101561615,-2.4572683823785884
24 hours,chr4.54082010.54082798,1.6627385735008438
24 hours,chr2.219509622.219510426,-1.5197613473245402
24 hours,chr7.66075488.66076502,-0.6869988938467744
24 hours,chr1.16048572.16049086,-1.8602842327228304
24 hours,chr17.15414742.15415494,-2.443427765200056
24 hours,chr22.36454739.36455880,-1.1691802880271362
24 hours,chr6.36677825.36678025,3.339040830561412
24 hours,chr16.70553144.70553958,2.5442954062307073
24 hours,chr19.48810805.48811486,-0.93669909956281
24 hours,chr10.79381739.79382410,-1.6598123499346746
24 hours,chr1.3423164.3423823,-2.1378382117135293
24 hours,chr5.171427753.171428332,-3.2212375211919024
24 hours,chr19.17576598.17577321,-1.9766969446971232
24 hours,chr12.95224275.95225106,2.0747566434491587
24 hours,chr1.205330725.205331101,3.778129450537133
24 hours,chr14.54606225.54607507,-1.4538826793883342
24 hours,chr5.177478970.177479847,-1.7438451604100527
24 hours,chr16.10616753.10617689,-1.677186989959948
24 hours,chr20.9147354.9148058,2.0185071490560933
24 hours,chr5.96700954.96701463,2.0412321933
24 hours,chr6.36682505.36683048,1.7998393889140618
24 hours,chr1.43774430.43774818,3.337012799443328
24 hours,chr12.104177510.104178459,1.3689239880801285
24 hours,chrX.107454340.107454638,2.784979405468059
24 hours,chr9.70470446.70470927,-4.198060227286576
24 hours,chr5.59768041.59769018,1.5640805173916177
24 hours,chr14.49867807.49868571,-0.7221950778371609
24 hours,chr15.48925467.48926403,1.5224090728172306
24 hours,chr19.38988846.38989590,-1.5868059585640544
24 hours,chr7.74477915.74478583,-1.9861540070179755
24 hours,chr11.3867620.3868128,-3.1050539080731694
24 hours,chrX.17077669.17078919,1.6244094626657404
24 hours,chr4.165383838.165384868,2.492793163480452
24 hours,chr1.167663013.167663534,1.8913620847649957
24 hours,chr19.38223964.38224763,-1.7048023604248455
24 hours,chr15.70088529.70089388,-2.7361673281179923
24 hours,chr3.139537320.139537791,3.1786021902110155
24 hours,chr15.57497020.57497746,-1.780888171603619
24 hours,chr18.23578878.23579812,1.363595706938879
24 hours,chr7.117827924.117828259,3.9698400199062105
24 hours,chr15.35874283.35874865,2.4916726834234044
24 hours,chr4.145278790.145280089,1.5404116000925305
24 hours,chr10.68153508.68154386,0.9695358331760611
24 hours,chr4.182240154.182241036,1.4194316129207234
24 hours,chr1.26907483.26908020,2.321877018567249
24 hours,chr11.64809789.64811035,-0.8147237442654358
24 hours,chr12.122063940.122064408,-2.5928127315326304
24 hours,chr12.27549248.27550288,2.1206437146728456
24 hours,chr4.27149433.27150101,-1.9851805541213887
24 hours,chr9.134661787.134662925,-1.479498068491833
24 hours,chr2.39469815.39470434,1.2908812716745675
24 hours,chr17.78979818.78980564,-2.0897800261706845
24 hours,chr20.45828596.45829134,-2.99393229501882
24 hours,chr19.39823808.39825004,-1.3854449202461958
24 hours,chr8.40539318.40540286,2.3880579247392824
24 hours,chr4.158170229.158171541,1.6328098386062486
24 hours,chr17.58664990.58665587,3.1210948096785667
24 hours,chr1.212595685.212596923,1.8786615728241873
24 hours,chr2.111659401.111660076,1.5226705087073156
24 hours,chr2.79585687.79586410,-1.397153623321351
24 hours,chr16.31471587.31473202,-1.3006088858624953
24 hours,chr5.76372042.76373071,1.2535671836177156
24 hours,chr7.66628176.66629278,-0.9263536745493592
24 hours,chr12.119478993.119479686,2.287813003837263
24 hours,chr10.102159031.102160079,2.0939130988360635
24 hours,chr7.36303199.36304075,-1.3562286564459485
24 hours,chr2.27010791.27011334,2.0385288590988115
24 hours,chr15.78306162.78306721,1.973880875758955
24 hours,chrX.17547491.17548221,2.0445197699902042
24 hours,chr11.2314746.2315572,-2.5792597181197348
24 hours,chr5.96979141.96979855,3.627234224935096
24 hours,chr9.108743626.108744589,-1.7728588528261255
24 hours,chr10.102769568.102770119,2.0516201344455838
24 hours,chr1.9890194.9890905,1.5658571623607314
24 hours,chr7.139456852.139457939,1.975468048143096
24 hours,chr7.4744650.4745525,-0.7634491455551817
24 hours,chrX.19851937.19852862,1.7907854981841425
24 hours,chr20.35821691.35822248,2.34283094524219
24 hours,chr11.12066022.12067686,0.9162333449452529
24 hours,chr16.54502951.54503395,-3.7962583685185605
24 hours,chr6.43951152.43952009,-2.03779916403738
24 hours,chr5.151739570.151741083,0.9586432977840316
24 hours,chr2.223460700.223461365,2.643001211240917
24 hours,chr18.46169502.46169949,2.2641125878930493
24 hours,chr10.78831344.78831989,-2.08129611880268
24 hours,chr8.65778470.65778995,4.792996588892951
24 hours,chr18.80108754.80110049,-1.0704314850588617
24 hours,chr2.173048616.173049627,1.8075203576737513
24 hours,chr8.11782934.11783942,2.781826976610481
24 hours,chr15.79178757.79179603,2.143448597906299
24 hours,chr14.99424294.99425009,-2.591248190944591
24 hours,chr4.84995393.84995896,2.3503376322497083
24 hours,chr14.68685152.68686269,1.8476696000272832
24 hours,chr14.22976184.22976350,4.1329291751469945
24 hours,chr5.56058158.56059426,1.616349102822256
24 hours,chr9.130128356.130129861,1.1572669794332033
24 hours,chr2.85602193.85603418,-0.8076852769569722
24 hours,chr11.61369399.61370153,3.2198336428665195
24 hours,chr22.42553377.42554294,-1.4009437720091205
24 hours,chr12.62848417.62848884,1.830107817718584
24 hours,chr1.200296053.200296602,3.0921725304885292
24 hours,chr9.27712927.27713404,-2.6197645877775337
24 hours,chr2.233152349.233153111,-1.9180921798017616
24 hours,chr5.54785742.54786539,-2.1908439618428335
24 hours,chr4.40404440.40405182,1.7945024053601526
24 hours,chr18.44589687.44590166,2.8043123335491824
24 hours,chr14.104978315.104978785,-1.2068425830540872
24 hours,chr3.184574420.184575392,-1.183844055335749
24 hours,chr6.52498852.52499419,2.1515805676941087
24 hours,chr19.18156999.18157439,-1.252983834191983
24 hours,chr8.17496762.17497995,-0.7185881910087204
24 hours,chr12.116939741.116940232,-2.8417562029647785
24 hours,chr2.158060717.158061588,2.3819551022229555
24 hours,chr13.113724550.113725304,-1.9947172080882716
24 hours,chr10.62426046.62426815,2.4890176555869603
24 hours,chr17.2786163.2786727,-1.2025127970955638
24 hours,chr11.108340814.108341500,2.397655013462831
24 hours,chr20.37880602.37881225,-3.000610812777631
24 hours,chr22.46116298.46117039,-1.5551388138528677
24 hours,chr5.149380532.149381284,-2.269921320612857
24 hours,chr20.46368275.46369013,1.4819589114906413
24 hours,chr18.46408456.46409113,1.439771050150536
24 hours,chr7.34155071.34155770,2.3289195738712896
24 hours,chr11.76602404.76602832,-2.1916408368029474
24 hours,chr22.21013832.21015138,-0.9081591914786777
24 hours,chr1.205270752.205271478,1.687019672423605
24 hours,chr19.47587358.47587697,3.8679901899260383
24 hours,chr1.232593884.232594513,1.6585615926173052
24 hours,chr6.151059812.151061014,1.6707866484339644
24 hours,chr19.45770162.45771008,-1.2223400120855317
24 hours,chr6.97947637.97948489,1.1521578101021022
24 hours,chr19.58326666.58327726,-1.015364530724641
24 hours,chr8.117951423.117951691,3.252333026411443
24 hours,chrX.129931236.129933226,-1.1719380962002166
24 hours,chr19.50510725.50511818,-0.9194648415554889
24 hours,chr2.219419499.219420355,-3.0321930480541535
24 hours,chr1.94863247.94864461,1.410727896155004
24 hours,chr1.87712198.87712874,1.2560262033598497
24 hours,chr1.56797916.56798833,2.170066372417922
24 hours,chr5.14926661.14927000,4.22796868322186
24 hours,chr1.101002434.101003357,1.9407290930107326
24 hours,chr2.222919690.222920815,1.759685346805362
24 hours,chr7.663740.664524,-1.988758665394636
24 hours,chr2.26691192.26691683,-2.116790195888195
24 hours,chr3.52128116.52128674,1.3144638211365516
24 hours,chr10.22617979.22618815,1.3182995670973923
24 hours,chr10.44911013.44911516,-1.5668508001457697
24 hours,chr6.105263952.105264383,1.6061843624243624
24 hours,chr10.35372239.35372858,-1.1532339871007555
24 hours,chr7.7148745.7149187,-2.414835790599242
24 hours,chr3.41137630.41138402,2.7608086102666793
24 hours,chr11.43830809.43831388,1.5526256127909335
24 hours,chr22.27670730.27671122,-1.3930721513931363
24 hours,chr1.234974954.234975590,1.707974608327687
24 hours,chr6.19137429.19137951,2.143302658688832
24 hours,chr5.89313708.89314584,1.7404035440238146
24 hours,chr3.119794874.119795577,1.515939054713241
24 hours,chr2.86704154.86704967,1.1922651521161103
24 hours,chr5.177195209.177196011,1.6399356986335185
24 hours,chr1.1959773.1960472,-1.5054506275060922
24 hours,chr1.155800818.155801665,2.1333769805299396
24 hours,chr22.38463283.38463702,-1.8270523148510764
24 hours,chr4.76679499.76680237,-2.608421095424409
24 hours,chr19.49142766.49143227,-1.431033102091968
24 hours,chr18.48720284.48720906,1.425249791288441
24 hours,chr6.43702394.43703348,-1.4577589915856644
24 hours,chr12.56487425.56488686,1.0392104612788842
24 hours,chr17.63961545.63962287,-2.4724461207734567
24 hours,chr1.20698417.20698866,2.698244033760357
24 hours,chr7.40698284.40698899,2.118191927553826
24 hours,chr16.30774905.30776330,-0.5960049048037384
24 hours,chr15.47820507.47821399,1.4596869747109151
24 hours,chr12.25276074.25276644,2.3070700485551474
24 hours,chr2.229045631.229046106,-2.1049339351079746
24 hours,chr5.139635793.139636129,-1.8159948208419325
24 hours,chr13.30577237.30577791,2.012699206832219
24 hours,chr21.39451396.39452374,-1.3601452788105077
24 hours,chr2.22907290.22907657,-2.5238707057751464
24 hours,chr9.87599866.87600564,1.3470720854559342
24 hours,chr19.48812095.48812829,-1.4720664211724483
24 hours,chr19.3982817.3983588,1.808042751005571
24 hours,chr1.229370569.229371028,-3.598870386640671
24 hours,chr2.30178599.30179271,2.4339222324889818
24 hours,chr1.162663146.162664072,1.5752445299857576
24 hours,chr15.72615342.72615994,-2.141214970017219
24 hours,chr17.29107684.29108660,0.6176462881655502
24 hours,chr11.19714488.19715734,1.0861460693648533
24 hours,chr6.50850033.50851256,1.5920257411568985
24 hours,chrX.110394628.110395098,2.3670446288554166
24 hours,chr1.145782266.145783004,2.329621855374004
24 hours,chr15.41806373.41806935,-2.3710704729094787
24 hours,chr16.75116548.75117006,-1.805113968836665
24 hours,chr20.46375683.46376393,2.9737283254110776
24 hours,chr15.33852215.33852974,2.03939538342731
24 hours,chr12.70556215.70556651,3.079899549421581
24 hours,chr21.44845761.44846463,-1.2495145828503595
24 hours,chr2.240236480.240237132,-2.272224376630091
24 hours,chr13.90717145.90718049,2.257599849758493
24 hours,chr5.150515830.150516480,-1.1072996966219542
24 hours,chr10.24008377.24009344,1.724202490378424
24 hours,chr10.43322504.43323359,-1.3772733792207448
24 hours,chr3.177744819.177745559,1.057484358983566
24 hours,chr12.3683575.3684197,1.370497494297021
24 hours,chr11.19978756.19979469,2.84028798649584
24 hours,chr8.39059056.39059919,1.4600513940136661
24 hours,chr10.3172100.3173397,-0.6311380468109009
24 hours,chr11.33722344.33723599,2.3246904469346634
24 hours,chr2.235642147.235642892,1.9593016481001309
24 hours,chr2.173300371.173300840,3.229319879254706
24 hours,chr6.118186686.118188311,2.5756477219462885
24 hours,chr8.141629380.141630011,-2.2208764173297144
24 hours,chr8.21623868.21624277,-2.235088355781984
24 hours,chr3.195885184.195885727,-2.2789881213174996
24 hours,chr10.7405423.7405907,2.304507884821784
24 hours,chr4.14916685.14917706,1.096391843493683
24 hours,chr3.119642958.119643853,1.6821753971285076
24 hours,chr19.56110580.56111323,-1.8344971818654017
24 hours,chr2.188746693.188747241,4.298725794572878
24 hours,chr6.139977724.139978293,2.6093115406030094
24 hours,chr5.33291282.33291923,-3.3447975394802874
24 hours,chr7.41028742.41029516,2.3789910463645576
24 hours,chr10.3099274.3100099,1.6259971029698437
24 hours,chr8.98454167.98454600,-1.5464723988613889
24 hours,chr5.120405341.120406536,1.5347581234118493
24 hours,chr10.55158530.55158924,-2.3280328606095697
24 hours,chr19.50493166.50493832,-3.448436881708505
24 hours,chr17.17551365.17551848,-1.500984260986212
24 hours,chr8.95024570.95025403,-0.8966609238193719
24 hours,chr22.37022788.37023172,-1.9713648392488925
24 hours,chr20.36549656.36551277,-2.1342780085327546
24 hours,chr5.168404060.168404930,1.5551952159756355
24 hours,chr1.206456924.206457818,1.4865024527327295
24 hours,chr14.103136688.103137320,1.1407592351600333
24 hours,chr14.72476669.72477421,2.011371836226578
24 hours,chr21.35428219.35428903,-2.9354620129941162
24 hours,chr14.34842822.34843613,2.3211505010814357
24 hours,chr1.217660301.217661131,2.3370088824522632
24 hours,chr6.73704130.73705077,2.2320823555794815
24 hours,chr7.152424466.152425301,1.338659584406749
24 hours,chr22.31646290.31647339,1.8413062717119013
24 hours,chr1.218459033.218459364,1.8820820325632441
24 hours,chr9.112012071.112012966,1.6946566197599222
24 hours,chr12.45415389.45415862,1.3140946753449416
24 hours,chr1.36448574.36449076,3.276830376089864
24 hours,chr5.79699794.79700211,3.1021586209461134
24 hours,chr14.35341383.35342582,-1.6227801098310697
24 hours,chr22.46970863.46971643,-1.5035282530760887
24 hours,chr18.28657936.28658506,2.3923699001650984
24 hours,chr2.54524277.54525497,1.3907637381648938
24 hours,chr2.232592683.232593416,1.9944431141191423
24 hours,chr14.59361049.59361785,1.6973855502278905
24 hours,chr18.8423114.8423685,1.3217509977548378
24 hours,chr3.39180407.39181309,-0.8684895506984134
24 hours,chr13.75568999.75570344,3.6266480731544983
